SQL_Injection_Type,Affected_URL,Proof_Of_Concept,Status,DBMS
N/A,http://localhost:3000/#/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/user/change-password?current=,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/2fa/enter,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/continue-code-findIt/apply/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/captcha,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/index,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/user/login,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/user/authentication-details/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/v3/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/PEG.js,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/text/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/address/select,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/snippets/verdict,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/assets/public/images/products/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/api/Addresss,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/api/%5C%22/ftp/legal.md%5C%22,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/%5C/index.html,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/scripts.js,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/country-mapping,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/ws/v3/,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/api/SecurityAnswers,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/ngx-highlightjs-line-numbers-6NZGNB3C.js,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/chunk-4MIYPPGW.js,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/api/Feedbacks,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/api/Users,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/.well-known/csaf/provider-metadata.json,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/user/whoami,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/api/Products,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/rest/user/security-question?email=,N/A,Not Vulnerable,N/A
N/A,http://localhost:3000/redirect?to=https,N/A,Not Vulnerable,N/A
